map,prompt,survey_point_id,transcription,note,category,sourced_elsewhere
1,"I sold",85,ˈ+j+ɪ+ə+l m′+e,,dhíol mé,0
1,"I sold",86,ˈ+j+iː+l m′+ɛ,,dhíol mé,0
1,"I sold",88,r+e+n m+e k+r+ɛ+k,,rinn mé creic,0
1,"I sold",a,ˈ+x+r+e+k̠ m+i,,reic mé,0
1,"I sold",b,ˈ+ʀ+ᴇ+x′+k′ m+i,,reic mé,0
1,"I sold",b,ˈ+x+r+e+χ′+k′ m+i,,chreic mé,0
1,"I sold",c,r+.+e+x′+ḳ′ m+i,,reic mé,0
1,"I sold",d,r+e+x′+ḳ′ m+i,,reic mé,0
1,"I sold",e,r′+e+x′+ḳ′ m+iː,,reic mé,0
1,"I sold",f,r+ɛ+x′+ḳ′ ʃ+ɪ+n′+ə,→ we ...,reic mé,0
/*<L 2>*/
/*<M 2 cattle>*/
/*<F beithidhigh pl., eallach collect., ainmhithe, crodh collect., bá pl.>*/
2,"cattle",1,b′+e+ˈ+h′+iː+g′,,beithidhigh,0
2,"cattle",2,b′+e+ˈ+h+iː+g′,,beithidhigh,0
2,"cattle",3,b′+ɛ+ˈ+h+iː+g′,,beithidhigh,0
2,"cattle",4,b′+ə+ˈ+h+iː+g′,,beithidhigh,0
2,"cattle",5,b′+e+ˈ+h+iː+g′,,beithidhigh,0
2,"cattle",7,b′+ɛ+ˈ+h+iː+g′,,beithidhigh,0
2,"cattle",8,b′+ɛ+ˈ+h+iː+g′,,beithidhigh,0
2,"cattle",9,b′+ɛ+ˈ+h+iː+g′,,beithidhigh,0
2,"cattle",10,b′+ɛ+ˈ+h+iː+g′,,beithidhigh,0
2,"cattle",11,b′+e+ˈ+h+iː+g′,,beithidhigh,0
2,"cattle",12,b′+ɛ+ˈ+h+iː+g′,,beithidhigh,0
2,"cattle",13,b′+e+ˈ+h+iː+g′,,beithidhigh,0
2,"cattle",14,b′+ɛ+ˈ+h+iː+g′,,beithidhigh,0
2,"cattle",15,b′+ɛ+ˈ+h+iː+g′,,beithidhigh,0
2,"cattle",16,b′+ɛ+ˈ+h+iː+g′,,beithidhigh,0
2,"cattle",17,b′+ɛ+ˈ+h+iː+g′,,beithidhigh,0
2,"cattle",18,b′+ɛ+ˈ+h+iː+g′,,beithidhigh,0
2,"cattle",19,b′+ɛ+ˈ+h+iː+g′,,beithidhigh,0
2,"cattle",20,b′+ə+ˈ+h+iː+g′,,beithidhigh,0
2,"cattle",21,b′+ɛ+ˈ+h+iː+g′,,beithidhigh,0
2,"cattle",22,b′+ɛ+ˈ+h+iː+g′,,beithidhigh,0
2,"cattle",22,b+ɑ+ˈ+h+ɛ+i+g′,,beithidhigh,0
2,"cattle",23,b′+ɛ+ˈ+h+iː+g′,,beithidhigh,0
2,"cattle",23,ɑ+l+ə+x,,eallach,0
2,"cattle",24,ɑ+l+ə+x,,eallach,0
2,"cattle",25,b′+è+h+iː,,beithidhigh,0
2,"cattle",25,ɑ+l+ə+x,,eallach,0
2,"cattle",26,b′+ɛ+h+i,,beithidhigh,0
2,"cattle",27,b′+ɛ+h+i,,beithidhigh,0
2,"cattle",28,b′+ɛ+h+i·,,beithidhigh,0
2,"cattle",29,b′+ɛ+h+iː,,beithidhigh,0
2,"cattle",30,b′+ɛ+h+iː,,beithidhigh,0
2,"cattle",31,b′+ɛ+h+iː,,beithidhigh,0
2,"cattle",32,ɑ+ʟ+ə+x,,eallach,0
2,"cattle",33,ɑ+l+ə+x,,eallach,0
2,"cattle",34,b′+e+h+iː,,beithidhigh,0
2,"cattle",35,b′+ɛ+h+i,,beithidhigh,0
2,"cattle",36,b′+ɛ+h+iː,,beithidhigh,0
2,"cattle",37,b′+ɛ+h+iː,,beithidhigh,0
2,"cattle",38,b′+ɛ+h+iː,,beithidhigh,0
2,"cattle",39,b′+ɛ+h+iː,,beithidhigh,0
2,"cattle",40,b′+ɛ+ˌ+i,,beithidhigh,0
2,"cattle",40,b′+ɛ+h+iː,,beithidhigh,0
2,"cattle",41,b′+ɛ+ˌ+i,,beithidhigh,0
2,"cattle",42,b′+e+i,,beithidhigh,0
2,"cattle",43,b′+ɛ+h+iː,,beithidhigh,0
2,"cattle",44,b′+ɛ+h+i·,,beithidhigh,0
2,"cattle",44,a+l+ə+x,,eallach,0
2,"cattle",45,b′+ɛ+h+iː,,beithidhigh,0
2,"cattle",46,b′+ɛ+h+iː,,beithidhigh,0
2,"cattle",47,b′+ɛ+h+iː,,beithidhigh,0
2,"cattle",48,b′+ɛ+h+iː,,beithidhigh,0
2,"cattle",49,b′+ɛ+h+iː,,beithidhigh,0
2,"cattle",50,b′+ɛ+h+iː,,beithidhigh,0
2,"cattle",51,b′+ɛ+h+ɪː,,beithidhigh,0
2,"cattle",52,b′+ɛ+h+i,,beithidhigh,0
2,"cattle",53,b′+ɛ+h+i,,beithidhigh,0
2,"cattle",54,b′+a+h+i,,beithidhigh,0
2,"cattle",55,b′+ɛ+h+iː,,beithidhigh,0
2,"cattle",56,b′+ɛ+h+iː,,beithidhigh,0
2,"cattle",57,ɑ̣+ʟː+ə+x,,eallach,0
2,"cattle",58,ɑ+ł+ɪ,gen. sg.,eallach,0
2,"cattle",59,ɑ+l+ə+x,,eallach,0
2,"cattle",60,ɑ+l+ə+x,,eallach,0
2,"cattle",61,ɑ+ʟ+ə+x,,eallach,0
2,"cattle",62,ɑ+l+ə+x,,eallach,0
2,"cattle",63,ɑ+l+ə+x,,eallach,0
2,"cattle",64,ɑ+ʟː+ɑ+x,,eallach,0
2,"cattle",65,ɑ+ʟ+ɑ,,eallach,0
2,"cattle",66,a+ʟː+ɑ̆,,eallach,0
2,"cattle",67,ɑ̣+lː+ɑ̆+x,,eallach,0
2,"cattle",68,a+ʟː+ɑ,,eallach,0
2,"cattle",69,ɑ̣ː+l+ɑ̆,,eallach,0
2,"cattle",70,ɛ+n′+ə+v′+ə+n+i,,ainmhithe,0
2,"cattle",71,ɛ+n′+ə+v′+ə+n+i,,ainmhithe,0
2,"cattle",72,ɑ+ʟː+i,gen. sg.,eallach,0
2,"cattle",73,a+ʟː+i,gen. sg.,eallach,0
2,"cattle",74,a+ʟː+i,gen. sg.,eallach,0
2,"cattle",74,ɛ+n′+ə+v′+ɪ+t′+ɪ,,ainmhithe,0
2,"cattle",75,a·+ʟ+i,gen. sg.,eallach,0
2,"cattle",76,a+ʟː+ɑ,,eallach,0
2,"cattle",77,a·+ʟː+ɑ̣,,eallach,0
2,"cattle",78,a+ʟː+i,gen. sg.,eallach,0
2,"cattle",79,a+ʟː+ɑ+χ,,eallach,0
2,"cattle",80,a+ʟ+i,gen. sg.,eallach,0
2,"cattle",81,a+ʟː+i,gen. sg.,eallach,0
2,"cattle",82,ɑ+ʟː+i,gen. sg.,eallach,0
2,"cattle",83,a+ʟː+i,gen. sg.,eallach,0
2,"cattle",84,ɑ+ʟː+ɑ+x,,eallach,0
2,"cattle",85,ɑ̣+ʟː+ɑ+χ,,eallach,0
2,"cattle",86,a+ʟː+i,gen. sg.,eallach,0
2,"cattle",88,ɔ+l+ə+x,,eallach,0
2,"cattle",88,ɑ+l+ə+x,(N),eallach,0
2,"cattle",a,b+ʷ+è+ʼ,,bá,0
2,"cattle",b,ə+ŋ k+ᵊ+r+uː,,crodh,0
2,"cattle",b,ʙ+a+.,,bá,0
2,"cattle",c,ə+n g̣+h+r+u,almost əŋ hru,crodh,0
2,"cattle",d,k+r+o+ŭ+ḫ,,crodh,0
2,"cattle",e,k+h+r+u+h,,crodh,0
2,"cattle",f,k+r+u+h,,crodh,0
2,"cattle",g,,cf. Quest. nos. 39 & 40,,0
/*<L 3>*/
/*<M 3a cow>*/
/*<F bó sg., mart>*/
3a,"cow",1,b+oː,,bó,0
3a,"cow",2,b+oː,,bó,0
3a,"cow",3,b+oː,,bó,0
3a,"cow",4,b+oː,,bó,0
3a,"cow",5,b+oː,,bó,0
3a,"cow",6,b+oː,,bó,1
3a,"cow",7,b+oː,,bó,0
3a,"cow",8,b+ǫː,,bó,0
3a,"cow",9,b+ǫː,,bó,0
3a,"cow",10,b+oː,,bó,0
3a,"cow",11,b+oː,,bó,0
3a,"cow",12,b+oː,,bó,0
3a,"cow",13,b+ǫː,,bó,0
3a,"cow",14,b+ǫː,,bó,0
3a,"cow",15,b+oː+ᵊ,,bó,0
3a,"cow",16,b+ɔː,,bó,0
3a,"cow",17,b+oː,,bó,0
3a,"cow",18,b+oː,,bó,0
3a,"cow",19,b+oː,,bó,0
3a,"cow",20,b+oː,,bó,0
3a,"cow",21,b+oː,,bó,0
3a,"cow",22,b+oː,,bó,0
3a,"cow",23,b+oː,,bó,0
3a,"cow",24,b+oː,,bó,0
3a,"cow",25,b+oː,,bó,0
3a,"cow",26,b+oː,,bó,0
3a,"cow",28,b+ọː,,bó,0
3a,"cow",29,b+oː,,bó,0
3a,"cow",30,b+oː,,bó,0
3a,"cow",31,b+oː,,bó,0
3a,"cow",32,m+ɑ+r+t,,mart,0
3a,"cow",32,b+oː,,bó,0
3a,"cow",33,b+ǫː,,bó,0
3a,"cow",34,b+oː,,bó,0
3a,"cow",35,b+ǫː,,bó,0
3a,"cow",36,b+oː,,bó,0
3a,"cow",37,b+oː,,bó,0
3a,"cow",38,b+oː,,bó,0
3a,"cow",39,b+oː,,bó,0
3a,"cow",40,b+oː,,bó,0
3a,"cow",41,b+oː,,bó,0
3a,"cow",42,b+oː,,bó,0
3a,"cow",43,b+oː,,bó,0
3a,"cow",44,b+oː,,bó,0
3a,"cow",45,b+oː,,bó,0
3a,"cow",46,b+oː,,bó,0
3a,"cow",47,b+oː,,bó,0
3a,"cow",48,b+oː,,bó,0
3a,"cow",49,b+oː,,bó,0
3a,"cow",50,b+oː,,bó,0
3a,"cow",51,b+oː,,bó,0
3a,"cow",52,b+ǫː,,bó,0
3a,"cow",53,b+oː,,bó,0
3a,"cow",54,b+oː,,bó,0
3a,"cow",55,b+oː,,bó,0
3a,"cow",56,b+oː,,bó,0
3a,"cow",57,b+oː,,bó,0
3a,"cow",58,b+oː,,bó,0
3a,"cow",59,b+oː,,bó,0
3a,"cow",60,b+oː,,bó,0
3a,"cow",61,b+oː,,bó,0
3a,"cow",62,b+oː,,bó,0
3a,"cow",63,m+ɑ+r+t,,mart,0
3a,"cow",64,m+ɑ+r+t,,mart,0
3a,"cow",64,b+ɔː,,bó,0
3a,"cow",65,m+ɑː+r+t′+ʃ,,mart,0
3a,"cow",66,m+ɑ+r+t′+ᶴ,,mart,0
3a,"cow",66,b+ɔː,,bó,0
3a,"cow",67,b+oː,,bó,0
3a,"cow",68,b+oː,,bó,0
3a,"cow",69,b+ɔː,,bó,0
3a,"cow",70,b+ɔː,,bó,0
3a,"cow",71,b+ɔː,,bó,0
3a,"cow",72,b+ɔː,,bó,0
3a,"cow",73,b+ɔː,,bó,0
3a,"cow",74,b+ɔ̃ː,,bó,0
3a,"cow",75,b+ɔː,,bó,0
3a,"cow",76,b+oː,,bó,0
3a,"cow",77,b+ɔː,,bó,0
3a,"cow",78,b+ɔː,,bó,0
3a,"cow",79,b+ɔː,,bó,0
3a,"cow",80,b+ɔː,,bó,0
3a,"cow",81,b+ɔː,,bó,0
3a,"cow",82,b+ɔː+ᵊ,,bó,0
3a,"cow",83,b+ɔː,,bó,0
3a,"cow",84,b+ǫː,,bó,0
3a,"cow",85,b+ɔː+ᵊ,,bó,0
3a,"cow",86,b+ɔː,,bó,0
3a,"cow",88,b+ųː,,bó,0
3a,"cow",a,b+oː,,bó,0
3a,"cow",b,ʙ+oː,,bó,0
3a,"cow",b,m+ɑ̣+r+h+t,,mart,0
3a,"cow",c,m+ɑ̣+ř+š+ṭ,,mart,0
3a,"cow",d,m+ɑ̣+ř+š+ṭ,,mart,0
3a,"cow",d,b+oː,,bó,0
3a,"cow",e,ḅ+oː+ᵊ,,bó,0
3a,"cow",f,b+oː,,bó,0
3a,"cow",g,b+oː,,bó,0
/*<L 4>*/
/*<M 3b bulls>*/
/*<F tairbh pl.>*/
3b,"bulls",1,t+ï+r+ï+v,,,0
3b,"bulls",1,t+ɑ+ˈ+r+iː+ə+n+t+ə,,,0
3b,"bulls",2,t+ɑ+ˈ+r+iː+ə+n+t+ə,,,0
3b,"bulls",3,t+ɪ+r′+ɪ+v′,,,0
3b,"bulls",4,t+ï+r+ï+v′,,,0
3b,"bulls",5,t+i+r′+i+f′,,,0
3b,"bulls",7,t+ɑ+ˈ+r+ɪː,,,0
3b,"bulls",8,t+a+r′+ï+v′,,,0
3b,"bulls",8,t+ɑ+ˈ+r+uː+n′+t′+iː,,,0
3b,"bulls",9,t+ɑ̣+ˈ+r+uː+n′+t′+iː,,,0
3b,"bulls",10,t+ɑ+ˈ+r+iː+ᵊ+x+ə,,,0
3b,"bulls",11,t+ɑ+ˈ+r+ɪː+ᵊ+x+ə,,,0
3b,"bulls",12,t+ɑ+ˈ+r+iː,,,0
3b,"bulls",13,t+ɑ+ˈ+r·+iː,,,0
3b,"bulls",14,t+ɑ+ˈ+r+iː+ᵊ+x+ə,,,0
3b,"bulls",15,t+ɑ+ˈ+r+iː,,,0
3b,"bulls",16,t+ɑ+ˈ+r+iː,,,0
3b,"bulls",18,t+ɑ+ˈ+r+ɪː,,,0
3b,"bulls",19,t+ɑ+ˈ+r+iː,,,0
3b,"bulls",20,t+ɑ+ˈ+r+ɪː,,,0
3b,"bulls",21,t+ɑ+ˈ+r+iː,,,0
3b,"bulls",22,t+ï+r′+ï+v′,,,0
3b,"bulls",23,t+ï+r′+ï+v′,,,0
3b,"bulls",24,t+ɪ+ˈ+r′+iː,,,0
3b,"bulls",25,t+ɛ̀+r′+ï+v′,,,0
3b,"bulls",28,t+ï+r+ï+v′,,,0
3b,"bulls",29,t+ɑ+r+ï+v′,form doubtful,,0
3b,"bulls",30,t+ɑ+ṟ+ï+v′,form doubtful,,0
3b,"bulls",32,t+ɪ+r′+ɪ+v′,,,0
3b,"bulls",33,t+ɪ+r′+ɪ+v′,,,0
3b,"bulls",34,t+ɑ+r+ə+v′,form doubtful,,0
3b,"bulls",35,t+ɪ+r′+ɪ+v′,,,0
3b,"bulls",36,t+ɛ+r′+ï+v′,,,0
3b,"bulls",37,t+ɪ+r′+ɪ+v′,,,0
3b,"bulls",38,t+ï+r′+ï+v′,,,0
3b,"bulls",39,t+ï+r′+ï+v′,,,0
3b,"bulls",40,t+ɪ+r′+ɪ+v′,,,0
3b,"bulls",41,t+ö+r′+ï+f′,,,0
3b,"bulls",42,t+ö+r′+ï+v′,,,0
3b,"bulls",43,t+a+r′+ï+v′,,,0
3b,"bulls",43,t+ö+r′+ï+v′,,,0
3b,"bulls",44,t+è+r′+ï+v′,,,0
3b,"bulls",45,t+ɛ+r′+ï+v′,,,0
3b,"bulls",46,t+è+r′+ɪ+v′,,,0
3b,"bulls",47,t+ï+r′+ï+v′,,,0
3b,"bulls",48,t+ɛ+r′+ɪ+v′,,,0
3b,"bulls",49,t+ø+r′+ï+v′,,,0
3b,"bulls",50,t+e+r′+ï+v′,,,0
3b,"bulls",51,t+e+r′+ï+v′,,,0
3b,"bulls",52,t+a+r+ï+v′,,,0
3b,"bulls",53,t+ï+r′+ï+v′,,,0
3b,"bulls",54,t+ï+r′+ï+v′,,,0
3b,"bulls",55,t+a+r′+ï+v′,,,0
3b,"bulls",56,t+a+r′+ï+v′,,,0
3b,"bulls",57,t+a·+r′+ï+v′,,,0
3b,"bulls",58,t+a+r+ï+v′,,,0
3b,"bulls",60,t+a+r+ï+v′,,,0
3b,"bulls",61,t+a+r+ï+v′,,,0
3b,"bulls",65,t+ə+r+ï+f′,,,0
3b,"bulls",66,t+ï+ṟ+ï+f′,,,0
3b,"bulls",67,t+ö+ṛ+v,,,0
3b,"bulls",68,t+ï+r′+ï+v′,,,0
3b,"bulls",69,t+ï+r′+ï+ᵛˊ,,,0
3b,"bulls",70,t+ɪ+r+ɪ+v′,,,0
3b,"bulls",71,t+ï+r+ï+f′,,,0
3b,"bulls",72,t+ï+ṟ+ï+f′,,,0
3b,"bulls",73,t+ɪ+r′+ɪ+v′,,,0
3b,"bulls",74,t+ɪ+r′+ɪ+v′,,,0
3b,"bulls",75,t+ɪ+r′+ɪ+v′,,,0
3b,"bulls",76,t+ï+r′+ï+v′,,,0
3b,"bulls",77,t+ɪ+r″+ɪ+f′,,,0
3b,"bulls",78,t+ɪ+ṟ+i+f′,,,0
3b,"bulls",79,t+ï+r′+ï+v′,,,0
3b,"bulls",80,t+ɪ+r″+ɪ+v′,,,0
3b,"bulls",81,t+e+r″+ɪ+v′,,,0
3b,"bulls",82,t+ɪ+r′+ɪ+v′,,,0
3b,"bulls",83,t+ɪ+r′+ɪ+φ′,,,0
3b,"bulls",84,t+ɪ+ṟ+ɪ+f′,,,0
3b,"bulls",85,t+ï+ṟ+ï+f′,,,0
3b,"bulls",86,t+ï+r″+ï+f′,,,0
3b,"bulls",88,t+a+r+u,sg.,,0
3b,"bulls",a,t+eː+r+ᵊ+v,,,0
3b,"bulls",b,t+ö+.+r+ə+v,,,0
3b,"bulls",b,t+ɛ+r+ə,,,0
3b,"bulls",c,t+ø+r+ɑ̣+h,,,0
3b,"bulls",d,t+ö+r′+i+f′,,,0
3b,"bulls",e,t+ï+r′+ï+f,,,0
3b,"bulls",f,t+a+r+ɪ,,,0
/*<L 5>*/
/*<M 4 tail>*/
/*<F eirball>*/
4,"tail",1,e+r+ə+b+ə+ᴌ,,,0
4,"tail",2,e+r+ə+b+ə+l,,,0
4,"tail",3,e+r′+ə+b′+ə+l,,,0
4,"tail",4,e+r+ə+b+ə+l,,,0
4,"tail",5,e+r+ə+b+ə+l,,,0
4,"tail",7,e+r+ə+b+ə+l+ᵈ,,,0
4,"tail",7,e+r+ə+b+ə+l,,,0
4,"tail",8,e+ṟ+ə+b+ə+l,,,0
4,"tail",9,e+r′+ə+b′+ə+l,,,0
4,"tail",10,e+r′+ə+b+ə+l,,,0
4,"tail",11,e+r′+ə+b′+ə+l,,,0
4,"tail",12,e+r′+ə+b′+ə+l,,,0
4,"tail",13,e+ṟ+ə+b+ə+l,,,0
4,"tail",14,e+r′+ə+b′+ə+l,,,0
4,"tail",15,e+r+ə+b+ə+l,,,0
4,"tail",16,ï+r+ə+b+ə+l,,,0
4,"tail",17,e+r+ə+b+ə+l,,,0
4,"tail",18,e+r′+ə+b+ə+l,,,0
4,"tail",19,e+r′+ə+b′+ə+l,,,0
4,"tail",20,ɛ+r′+ə+b+ə+l,,,0
4,"tail",21,e+r′+ə+b′+ə+l,,,0
4,"tail",22,r+u+b+ə+ł,,,0
4,"tail",22,r′+u+b+ə+ł,,,0
4,"tail",23,ᵊ+ˈ+r′+u+b+ə+l,,,0
4,"tail",24,r+u+b+ə+l,,,0
4,"tail",25,r+o̤+b+ə+l,,,0
4,"tail",25,t′+r′+o̤+b+ə+l,,,0
4,"tail",26,r+u+b+ə+l,,,0
4,"tail",28,r+u+b+ə+l,,,0
4,"tail",29,r+o̤+b+ə+l,,,0
4,"tail",30,r+o̤+b+ə+l,,,0
4,"tail",31,t′+r+o̤+b+ə+l,,,0
4,"tail",31,r+o̤+b+ə+l,,,0
4,"tail",32,r+u+b+ə+l·,,,0
4,"tail",33,r+u+b+ə+l,,,0
4,"tail",34,r+u+b+ə+l,,,0
4,"tail",35,d′+r′+o̤+b+ə+l,,,0
4,"tail",36,d′+r′+o̤+b+ə+l,,,0
4,"tail",37,d′+r′+u+b+ə+l,,,0
4,"tail",38,d′+r′+ï+b+ə+l,,,0
4,"tail",39,r+u+b+ə+l,,,0
4,"tail",40,d′+r′+o̤+b+ə+l,,,0
4,"tail",41,t+r+o̤+b+ə+l,,,0
4,"tail",42,d′+r′+o̤+b+ə+l,,,0
4,"tail",43,d′+r′+o̤+b+ə+l,,,0
4,"tail",44,d′+r′+ï+b+ə+l,,,0
4,"tail",45,d′+r′+u+b+ə+l,,,0
4,"tail",45,t′+r′+o̤+b+ə+l,,,0
4,"tail",46,d′+r′+o̤+b+ə+l,,,0
4,"tail",47,r+o̤+b+ə+l,,,0
4,"tail",48,ʀ+u+b+ə+l,,,0
4,"tail",49,r+u+b+ə+l,,,0
4,"tail",50,r+o̤+b+ə+l,,,0
4,"tail",51,r+o̤+b+ə+l,,,0
4,"tail",52,r+o̤+b+ə+l,,,0
4,"tail",53,r+u+b+ə+l·,,,0
4,"tail",54,r+o̤+b+ə+l,,,0
4,"tail",55,r+o̤+b+ə+l,,,0
4,"tail",56,ʀ+o̤+b+ə+l,,,0
4,"tail",57,r+o̤+b+ə+ʟ,,,0
4,"tail",58,r+o̤+b+ə+l,,,0
4,"tail",59,r+o̤+b+ə+l,,,0
4,"tail",60,r+u+b+ə+l,,,0
4,"tail",61,r+o̤+b+ə+ʟ,,,0
4,"tail",62,r+u+b+ə+ʟ,,,0
4,"tail",63,r+o̤+b+ə+l,,,0
4,"tail",65,ɔ+r+ə+b+ə+l,,,0
4,"tail",66,ɔ+r+ə+b+ə+l,,,0
4,"tail",67,ï+ṛ+b+ɑ̆+l,,,0
4,"tail",68,o+r+ə+b+ə+l,,,0
4,"tail",69,r+o̤+b+ə+l,,,0
4,"tail",70,r·+u+b+ə+l,,,0
4,"tail",71,r+u+b+ə+l,,,0
